Customer_Number,Company_Name,Sales_Rep,Sales_Rep_Num
PPW100087,Kris Ltd,Corkery,EMP00017
PPW100027,Kuphal- Mayert and Leffler,Hegmann,EMP00034
PPW100056,Lynch-Bednar,Hettinger,EMP00035
PPW100038,Marvin-Pagac,Lang,EMP00041
PPW100111,McGlynn- Bartell and Tillman,Roberts,EMP00048
PPW100080,McGlynn- Pfeffer and Kautzer,Schmitt,EMP00053
PPW100091,Mertz and Sons,Skiles,EMP00055
PPW100029,Moore- Weber and Maggio,Welch,EMP00064
PPW100052,O'Connell-Reynolds,Bartell,EMP00007
PPW100075,Ondricka-Auer,Corkery,EMP00017
PPW100066,Orn Group,Hegmann,EMP00034
PPW100058,Pacocha- Schiller and Dare,Hettinger,EMP00035
PPW100113,Predovic-Leffler,Lang,EMP00041
PPW100118,Price Inc,Roberts,EMP00048
PPW100088,Prosacco Group,Schmitt,EMP00053
PPW100070,Quigley-Wisoky,Skiles,EMP00055
PPW100107,Reichert- Ankunding and Krajcik,Welch,EMP00064
PPW100093,Reynolds- Reichel and Trantow,Bartell,EMP00007
PPW100095,Runte Ltd,Corkery,EMP00017
PPW100086,Ryan PLC,Hegmann,EMP00034
PPW100063,Ryan- Steuber and Moen,Hettinger,EMP00035
PPW100124,Sauer-Fisher,Lang,EMP00041
PPW100073,Schimmel- Ratke and Kuvalis,Roberts,EMP00048
PPW100035,Schinner- Bogisich and Keeling,Schmitt,EMP00053
PPW100074,Schmidt Inc,Skiles,EMP00055
PPW100112,Schultz and Sons,Welch,EMP00064
PPW100065,Senger-Farrell,Bartell,EMP00007
PPW100116,Shields- McGlynn and Hill,Corkery,EMP00017
PPW100083,Sipes-Lueilwitz,Hegmann,EMP00034
PPW100036,Skiles-Borer,Hettinger,EMP00035
PPW100053,Skiles-Walsh,Lang,EMP00041
PPW100122,Spencer PLC,Roberts,EMP00048
PPW100040,Stamm and Sons,Schmitt,EMP00053
PPW100082,Stokes Group,Skiles,EMP00055
PPW100039,Tillman-Predovic,Welch,EMP00064
PPW100057,Trantow-Bauch,Bartell,EMP00007
PPW100103,Ullrich- Stanton and O'Reilly,Corkery,EMP00017
PPW100115,Vandervort-Breitenberg,Hegmann,EMP00034
PPW100092,Walter-Berge,Hettinger,EMP00035
PPW100079,Wiegand- Wintheiser and Beier,Lang,EMP00041
PPW100061,Williamson-Hahn,Roberts,EMP00048
PPW100089,Wiza-Smitham,Schmitt,EMP00053
PPW100044,Yundt-Kuvalis,Skiles,EMP00055
PPW100119,Zemlak Group,Welch,EMP00064
PPW100054,Ziemann PLC,Schmitt,EMP00053
